,time,date,year,month,depth,magnitude
0,2020-06-28 05:37:40,2020-06-28,2020,6,11,3.1
1,2020-06-23 22:12:22,2020-06-23,2020,6,8,3.8
2,2020-06-13 10:32:49,2020-06-13,2020,6,9,3.1
3,2020-06-12 21:03:39,2020-06-12,2020,6,8,4.0
4,2020-06-10 10:20:33,2020-06-10,2020,6,9,3.0
5,2020-06-02 16:39:04,2020-06-02,2020,6,13,3.3
6,2020-06-01 12:42:05,2020-06-01,2020,6,8,3.2
7,2020-05-31 12:25:58,2020-05-31,2020,5,8,3.2
8,2020-05-25 00:01:28,2020-05-25,2020,5,8,3.0
9,2020-05-22 03:12:50,2020-05-22,2020,5,8,3.8
10,2020-05-11 06:09:52,2020-05-11,2020,5,10,3.1
11,2020-05-10 15:42:28,2020-05-10,2020,5,11,3.6
12,2020-04-27 09:37:12,2020-04-27,2020,4,9,3.3
13,2020-04-23 17:04:40,2020-04-23,2020,4,8,4.1
14,2020-04-09 09:14:25,2020-04-09,2020,4,8,3.3
15,2020-04-06 15:01:41,2020-04-06,2020,4,8,3.0
16,2020-03-17 10:30:37,2020-03-17,2020,3,10,3.6
17,2020-02-03 23:55:51,2020-02-03,2020,2,12,3.9
18,2020-01-30 04:20:14,2020-01-30,2020,1,11,3.4
19,2020-01-27 18:55:47,2020-01-27,2020,1,8,3.0
20,2020-01-08 01:09:37,2020-01-08,2020,1,12,4.1
21,2019-12-29 08:47:12,2019-12-29,2019,12,15,3.8
22,2019-12-26 18:45:16,2019-12-26,2019,12,8,3.2
23,2019-11-27 21:03:02,2019-11-27,2019,11,18,4.0
24,2019-11-14 07:02:51,2019-11-14,2019,11,8,3.1
25,2019-11-10 21:28:06,2019-11-10,2019,11,10,3.4
26,2019-11-10 06:46:51,2019-11-10,2019,11,8,4.1
27,2019-11-07 05:46:18,2019-11-07,2019,11,16,3.2
28,2019-10-21 08:25:37,2019-10-21,2019,10,14,3.7
29,2019-09-12 20:17:53,2019-09-12,2019,9,10,4.0
30,2019-09-06 15:25:33,2019-09-06,2019,9,7,3.9
31,2019-08-18 20:41:19,2019-08-18,2019,8,8,3.3
32,2019-08-13 06:31:53,2019-08-13,2019,8,12,4.1
33,2019-07-30 01:04:34,2019-07-30,2019,7,8,3.8
34,2019-07-23 22:25:24,2019-07-23,2019,7,6,3.0
35,2019-07-22 16:26:36,2019-07-22,2019,7,9,4.1
36,2019-07-22 16:19:00,2019-07-22,2019,7,8,3.0
37,2019-07-19 01:21:28,2019-07-19,2019,7,11,3.2
38,2019-07-18 17:18:41,2019-07-18,2019,7,7,3.0
39,2019-07-16 18:12:56,2019-07-16,2019,7,5,3.0
40,2019-07-14 18:17:18,2019-07-14,2019,7,7,3.0
41,2019-07-08 00:37:40,2019-07-08,2019,7,4,3.2
42,2019-07-04 18:01:42,2019-07-04,2019,7,7,3.0
43,2019-07-04 10:25:30,2019-07-04,2019,7,8,3.1
44,2019-07-04 10:17:58,2019-07-04,2019,7,8,5.6
45,2019-07-04 07:34:05,2019-07-04,2019,7,8,3.1
46,2019-07-04 06:45:19,2019-07-04,2019,7,12,3.6
47,2019-07-03 19:00:04,2019-07-03,2019,7,15,3.0
48,2019-07-03 12:26:53,2019-07-03,2019,7,10,4.8
